isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500
DE0007037129,385.0,475.0,380.0,69.0,304333.0,47410.0,2629.27,195.83000000000004,12168.0,1878.1,2494.0,76.0,0.0057672150608818,228712.0,8362.0,21018.0,113.0,RWE,Germany,Deloitte,Electric Utilities & Power Generators,,,4.060324825986079,5.009491668424383,26.30246783379034,0.8015186669479013,6.082277009999789e-05
DE0007100000,753.0,784.0,617.0,193.0,494711.0,72924.0,4242.71,-2652.74,18589.0,2473.4,1658.0,38.0,0.0,293480.0,16240.0,37120.0,145.0,Mercedes-Benz,Germany,PwC,Automobiles,49280112100.0,5.0,5.162909330261642,5.375459382370686,11.367999561186988,0.26054522516592615,0.0
DE0007164600,658.0,665.0,389.0,272.0,397264.0,60505.0,2518.1,481.21,15175.0,2064.1,1499.0,118.0,0.6832535573512655,230736.0,13338.0,26220.0,114.0,SAP,Germany,BDO,Software & IT Services,285368500789.0,5.0,5.437567143211305,5.495413602181638,12.387405999504173,0.9751260226427567,0.005646256981664866
DE0007165631,305.0,592.0,371.0,48.0,261975.0,39132.0,1874.47,991.62,9578.0,1845.6,1553.0,64.0,0.0,202400.0,11100.0,21000.0,100.0,Sartorius,Germany,PwC,Medical Equipment & Supplies,7754190521.0,3.0,3.8970663395686396,7.564141878769294,19.843095165082286,0.8177450679750589,0.0
DE0007664039,1115.0,1420.0,902.0,240.0,807820.0,122800.0,4900.43,2471.38,29875.0,3982.1,2925.0,71.0,5.443211622194398,485760.0,55200.0,112560.0,240.0,Volkswagen,Germany,EY,Automobiles,19006823578.0,4.0,4.539902280130293,5.7817589576547235,11.909609120521173,0.2890879478827362,0.02216291377114983
DE0008232125,1070.0,1097.0,1124.0,217.0,589314.0,87973.0,3461.12,-827.9599999999999,21622.0,2532.0,1755.0,15.0,0.0256827983799295,271216.0,13400.0,31222.0,134.0,Deutsche Lufthansa,Germany,EY,Airlines,7661312065.2,3.0,6.081411342116331,6.234867516169734,9.97465131347118,0.08525343002966819,0.00014596977697662635
DE0008404005,933.0,1241.0,1164.0,310.0,660527.0,97919.0,2423.55,907.62,22032.0,2418.7,2625.0,129.0,0.3356489534379518,269192.0,7315.0,24871.0,133.0,Allianz,Germany,PwC,Insurance,118213174770.0,5.0,4.764141790663712,6.336870270325473,13.403935906208194,0.6587077073908026,0.0017139112605212053
DE0008430026,525.0,712.0,773.0,127.0,429169.0,65433.0,3447.56,-2967.7,14042.0,1882.6,2146.0,71.0,0.0935167500289676,208472.0,6283.0,16789.0,103.0,Munich Re,Germany,EY,Insurance,66261146609.0,5.0,4.011737196827289,5.4406797793162465,16.398453379793068,0.542539697094738,0.0007145992849859214
DE000A0D6554,751.0,941.0,494.0,121.0,420798.0,61325.0,3610.84,-1780.97,17016.0,2111.8,1717.0,61.0,2.9650204614273283,263120.0,11830.0,28600.0,130.0,Nordex,Germany,KPMG,Wind Technology & Project Developers,2758596407.5,2.0,6.123114553607827,7.672238075825519,13.999184671830411,0.49735018344883813,0.024174647056072793
DE000A0D9PT0,667.0,812.0,493.0,75.0,391737.0,58397.0,2643.41,-663.4699999999999,14807.0,1775.9,1749.0,15.0,0.0,208472.0,11433.0,21939.0,103.0,MTU Aero Engines,Germany,KPMG,Aerospace & Defence,17928472704.0,4.0,5.710909807010634,6.952411938969468,14.975084336524137,0.12843125503022415,0.0
